  n  player  taxman  diff
303   19763   26293    6530
304   19915   26445    6530
305   20098   26567    6469
306   20098   26873    6775
307   20391   26887    6496
308   20269   27317    7048
309   20471   27424    6953
310   20471   27734    7263
311   20778   27738    6960
312   20934   27894    6960
313   21245   27896    6651
314   21245   28210    6965
315   21553   28217    6664
316   21553   28533    6980
317   21866   28537    6671
318   21866   28855    6989
319   22322   28718    6396
320   22466   28894    6428
321   22672   29009    6337
322   22626   29377    6751
323   23162   29164    6002
324   23178   29472    6294
325   23343   29632    6289
326   23343   29958    6615
327   23557   30071    6514
328   23721   30235    6514
329   23956   30329    6373
330   23956   30659    6703
331   24273   30673    6400
332   24273   31005    6732
333   24273   31338    7065
334   24273   31672    7399
335   24474   31806    7332
336   24642   31974    7332
337   24973   31980    7007
338   24973   32318    7345
339   25191   32439    7248
340   25307   32663    7356
341   25524   32787    7263
342   25524   33129    7605
343   25524   33472    7948
344   25696   33644    7948
345   25903   33782    7879
346   25903   34128    8225
347   26240   34138    7898
348   26428   34298    7870
349   26775   34300    7525
350   26775   34650    7875
351   26695   35081    8386
352   26695   35433    8738
353   27044   35437    8393
354   27044   35791    8747
355   27257   35933    8676
356   27257   36289    9032
357   27427   36476    9049
358   27427   36834    9407
359   27780   36840    9060
360   27780   37200    9420
361   27780   37561    9781
362   27780   37923   10143
363   27902   38164   10262
364   28034   38396   10362
365   28253   38542   10289
366   28253   38908   10655
367   28612   38916   10304
368   28796   39100   10304
369   28796   39469   10673
370   28796   39839   11043
371   29061   39945   10884
372   29309   40069   10760
373   29676   40075   10399
374   29676   40449   10773
375   29865   40635   10770
376   30053   40823   10770
377   30053   41200   11147
378   30053   41578   11525
379   30426   41584   11158
380   30426   41964   11538
381   30652   42119   11467
382   30652   42501   11849
383   31031   42505   11474
384   31287   42633   11346
385   31532   42773   11241
386   31532   43159   11627
387   31532   43546   12014
388   31532   43934   12402
389   31915   43940   12025
390   32121   44124   12003
391   32743   43893   11150
392   32687   44341   11654
393   32941   44480   11539
394   32941   44874   11933
395   33178   45032   11854
396   33178   45428   12250
397   33567   45436   11869
398   33567   45834   12267
399   33762   46038   12276
400   33878   46322   12444
401   34275   46326   12051
402   34275   46728   12453
403   34594   46812   12218
404   34594   47216   12622
405   35163   47052   11889
406   35105   47516   12411
407   35705   47323   11618
408   35909   47527   11618
409   36310   47535   11225
410   36310   47945   11635
411   36572   48094   11522
412   36572   48506   11934
413   36867   48624   11757
414   36867   49038   12171
415   37116   49204   12088
416   37116   49620   12504
417   37390   49763   12373
418   37390   50181   12791
419   37799   50191   12392
420   37995   50415   12420
421   38414   50417   12003
422   38414   50839   12425
423   38414   51262   12848
424   38626   51474   12848
425   38626   51899   13273
426   38626   52325   13699
427   38931   52447   13516
428   38931   52875   13944
429   39719   52516   12797
430   39719   52946   13227
431   40140   52956   12816
432   40204   53324   13120
433   40635   53326   12691
434   40573   53822   13249
435   40678   54152   13474
436   40678   54588   13910
437   41039   54664   13625
438   41039   55102   14063
439   41472   55108   13636
440   41692   55328   13636
441   41927   55534   13607
442   41927   55976   14049
443   42366   55980   13614
444   42662   56128   13466
445   42929   56306   13377
446   42929   56752   13823
447   43207   56921   13714
448   43143   57433   14290
449   43586   57439   13853
450   43736   57739   14003
451   44023   57903   13880
452   44023   58355   14332
453   44321   58510   14189
454   44321   58964   14643
455   44921   58819   13898
456   45149   59047   13898
457   45598   59055   13457
458   45598   59513   13915
459   45390   60180   14790
460   45742   60288   14546
461   46199   60292   14093
462   46199   60754   14555
463   46660   60756   14096
464   46892   60988   14096
465   47171   61174   14003
466   47171   61640   14469
467   47634   61644   14010
468   48010   61736   13726
469   48345   61870   13525
470   48345   62340   13995
471   48647   62509   13862
472   48883   62745   13862
473   49184   62917   13733
474   49184   63391   14207
475   49184   63866   14682
476   48912   64614   15702
477   48912   65091   16179
478   48912   65569   16657
479   49379   65581   16202
480   49595   65845   16250
481   50002   65919   15917
482   50002   66401   16399
483   50002   66884   16882
484   49980   67390   17410
485   50271   67584   17313
486   50271   68070   17799
487   50750   68078   17328
488   50994   68322   17328
489   51308   68497   17189
490   51238   69057   17819
491   51725   69061   17336
492   52053   69225   17172
493   52821   68950   16129
494   52821   69444   16623
495   53056   69704   16648
496   53304   69952   16648
497   53659   70094   16435
498   53659   70592   16933
499   54150   70600   16450
500   54150   71100   16950
501   54476   71275   16799
502   54476   71777   17301
503   54975   71781   16806
504   55199   72061   16862
505   55502   72263   16761
506   55502   72769   17267
507   55502   73276   17774
508   55502   73784   18282
509   56005   73790   17785
510   56375   73930   17555
511   56740   74076   17336
512   56996   74332   17336
513   56987   74854   17867
514   56987   75368   18381
515   57296   75574   18278
516   57640   75746   18106
517   57969   75934   17965
518   57895   76526   18631
519   58229   76711   18482
520   58489   76971   18482
521   58998   76983   17985
522   58998   77505   18507
523   59519   77507   17988
524   59519   78031   18512
525   59739   78336   18597
526   59739   78862   19123
527   60142   78986   18844
528   60142   79514   19372
529   60142   80043   19901
530   60142   80573   20431
531   60142   81104   20962
532   60042   81736   21694
533   60493   81818   21325
534   60493   82352   21859
535   60814   82566   21752
536   61082   82834   21752
537   61428   83025   21597
538   61428   83563   22135
539   61771   83759   21988
540   62035   84035   22000
541   62558   84053   21495
542   62558   84595   22037
543   62916   84780   21864
544   63188   85052   21864
545   63515   85270   21755
546   63535   85796   22261
547   64076   85802   21726
548   64076   86350   22274
549   64076   86899   22823
550   64076   87449   23373
551   65006   87070   22064
552   65282   87346   22064
553   65677   87504   21827
